Code,species,Seed ID,Source code,Client,Project,Removed,Cleaned,Seedlot notes,100 sd wt (g),Seed per g,Available g,Stored g,Reserved g,100 sd wt (lb),Seed per lb,Available lb,Stored lb,Reserved lb,Available Sd,Stored Sd,Reserved Sd,Purity,Fill,Viability (TZ),Germ,Moisture,Est. PLS,Ecoregion,Prov. SZ,Tracking ID,date_collected,Site Name,Elevation,Latitude,Longitude,Forest/Park (near),Collection Notes,Last used date,Last action,Last used wt (g),Last used wt (lb),Last used project,FLAP,BSE
PSME,Pseudotsuga menziesii,RST-CRG16-26,PSME-RST-3040/0203-G0-HCRHSTATETRAIL-16,RST,HCRHST,FALSE,TRUE,,1.39,71.94,11.13,11.13,0,0.003064,,0.024537,0.024537,0,801,800,0,,95,,,,761,,30-40/2-3,,1-Jan-16,,300,,,Mt. Hood,!imported; ,5/5/2024,import,-11.73,,,FALSE,0
PSME,Pseudotsuga menziesii,PSME-15-2015-1,PSME-15-2015-1,RST,Unassigned - RST,FALSE,TRUE,,1.38,72.46,8.78,8.78,0,0.003042,,0.019357,0.019357,0,636,636,0,,,,,,,,,,1-Jan-15,,,,,Umpqua,!imported; ,2015,add (store),8.78,,,FALSE,0
PSME,Pseudotsuga menziesii,PSME-06-xx-1,Highway 35,RST,HWY 35,FALSE,TRUE,year unknown,1.15,86.96,10,10,0,0.002535,,0.022046,0.022046,0,870,869,0,,87,,,,757,,,,1-Jan-24,,,,,Mt. Hood,!imported; ,5/5/2024,import,-0.09,,,FALSE,0
PSME,Pseudotsuga menziesii,71-1617,PSME-RST-3035/2-3-G0-TILLERTRAIL-1971,RST,Tiller ReRoute,FALSE,TRUE,,1.2,83.33,13.35,13.35,0,0.002646,,0.029432,0.029432,0,1112,1112,0,,,,,,,,30-35/2-3,,1-Jan-71,,1000,,,Umpqua,!imported; ,1971,add (store),13.35,,,FALSE,0
PSME,Pseudotsuga menziesii,78-0580,PSME-11-081-02000-25-78 SIA,RST,Agness Powers,FALSE,TRUE,,1.33,75.19,3.53,3.53,0,0.002932,,0.007782,0.007782,0,265,265,0,96,,,76,,,,,,1-Jan-78,,,,,Siskiyou,!imported; ,5/5/2024,import,-0.11,,,FALSE,0
PUTR2,Purshia tridentata,FHWA-0108-08,PUTR2-01-SO.CENTURY-44-08,RST,South Century,FALSE,TRUE,,1.78,56.18,320.6,320.6,0,0.003924,,0.706802,0.706802,0,18011,18011,0,94,96,,,,17291,,15-20/3-6,,1-Jan-08,,4000,,,Deschutes,!imported; ,5/5/2024,import,-38.2,,,FALSE,0
PUTR2,Purshia tridentata,RST-19-03,PUTR2-RST-2025/0306-G0-44-KLAMATHLK-19,RST,Klamath Lake,FALSE,TRUE,,2.94,34.01,280.74,280.74,0,0.006482,,0.618926,0.618926,0,9548,9547,0,,84,,,,8020,,20-25/3-6,,1-Jan-19,,4400,42.23427,-121.7,Fremont,!imported; ,5/5/2024,import,-5.28,,,FALSE,0
PUTR2,Purshia tridentata,PUTR-02-2018-1,PUTR-RST-2025/3-6-G0-KLAMATHLAKES-18,RST,Klamath Lake,FALSE,TRUE,,2.68,37.31,53.12,53.12,0,0.005908,,0.11711,0.11711,0,1982,1981,0,,75,,,,1486,,20-25/3-6,,1-Jan-18,,4100,42.220992,-121.797952,Fremont,!imported; ,5/5/2024,import,-1.48,,,FALSE,0
RAOC,Ranunculus occidentalis,RST19-25,RAOC-RST-XX/XX-G1+-XX-HERITAGE-19,RST,Cape Meares,FALSE,TRUE,,0.18,555.56,9.979,9.979,0,0.000397,,0.022,0.022,0,5544,5543,0,,92,,,,5100,,,,1-Jan-19,,,,,,!imported; ,5/6/2024,strat/sow,-0.88,,Cape Meares,FALSE,0
RHMA3,Rhododendron macrophyllum,RHMA3-RST-10-21-1,RHMA3-RST-2530/<2-G0-2000-MTHOODFLAP_OR-21,RST,FLAP OR,FALSE,TRUE,,0.01,10000,22.395,22.44,0.045,0.000022,,0.049373,0.049472,0.000099,223950,224400,450,,90,,,,201555,,25-30/<2,,1-Jan-21,,2000,45.308149,-121.876315,Mt. Hood,!imported; ,3/4/2025,strat/sow,-0.06,,OR 224,TRUE,0
RHMA3,Rhododendron macrophyllum,RHMA3-RST-HILLSCREEK-23,RHMA3-RST-3540/<2-G0-2240-HILLSCREEK-23,RST,Hills Creek,FALSE,TRUE,,0.018,5555.56,0.094,0.094,0,0.00004,,0.000207,0.000207,0,522,522,0,50,61,,,,318,Cascades,35-40/<2,23-169,20-Sep-23,Middle Fork,2240,43.700397,-122.447983,Willamette,,10/22/2024,add (store),0.094,,Hills Creek,FALSE,0
RHMA3,Rhododendron macrophyllum,RST21-71,RHMA3-RST-3035/<2-G0-12-HILLSCREEK-21,RST,Hills Creek,FALSE,TRUE,,0.01,10000,9.4,9.4,0,0.000022,,0.020723,0.020723,0,94000,94000,0,75,34,,,,31960,,30-35/<2,,1-Jan-21,,1200,,,Willamette,!imported; ,5/5/2024,import,-0.26,,,FALSE,0
RHMA3,Rhododendron macrophyllum,RHMA3-06-2016-1,RHMA3-RST-2025/<2-G0-MIRRORLAKE-16,RST,HWY 35,FALSE,TRUE,,0.02,5000,1.09,1.09,0,0.000044,,0.002403,0.002403,0,5450,5450,0,,,,,,,,20-25/<2,,1-Jan-16,,4000,,,Mt. Hood,!imported; ,5/5/2024,import,-2.49,,,FALSE,0
RIBES,Ribes,FHWA-1207-14,RIBES-12-FHWA-BLAINERD-07,RST,Nestucca,FALSE,TRUE,,0.3,333.33,1.36,1.36,0,0.000661,,0.002998,0.002998,0,453,453,0,99,84,,,,381,,30-35/<2,,1-Jan-07,,,,,Siuslaw,!imported; ,5/5/2024,import,-4.536,,,FALSE,0
RIBR,Ribes bracteosum,RIBR-RST-RRS-21-1,RIBR-RST-3035/<2-G0-2600-RRS-21,RST,Unassigned - RST,FALSE,TRUE,,0.12,833.33,6.06,6.06,0,0.000265,,0.01336,0.01336,0,5050,5049,0,,50,,,,2525,,30-35/<2,,1-Jan-21,,2600,,,Rogue River Siskiyou,!imported; ,2021,add (store),6.06,,,FALSE,0
RICE,Ribes cereum,FHWA-0107-21,RIBEC2-01-682-03-100-42-SUNRIVER-07,RST,Sunriver,FALSE,TRUE,,0.21,476.19,14.55,14.55,0,0.000463,,0.032077,0.032077,0,6929,6928,0,99,67,86,,,5959,,15-20/3-6,,1-Jan-07,,,,,Deschutes,!imported; ,5/5/2024,import,-10.4,,,FALSE,0
RICE,Ribes cereum,0120-01,RICE-0101-2025/0306-G0-44-RD21RD40,RST,HWY 97,FALSE,TRUE,,0.13,769.23,6.31,6.31,0,0.000287,,0.013911,0.013911,0,4854,4853,0,,,,,,,,,,1-Jan-20,,4400,,,Deschutes,!imported from SS; ,5/5/2024,import,0,,,FALSE,0
RICE,Ribes cereum,0108-07,RICE-01-SO.Century-51-08,RST,South Century,FALSE,TRUE,,0.18,555.56,19.12,19.12,0,0.000397,,0.042152,0.042152,0,10622,10622,0,,72,,,,7648,,,,1-Jan-08,,5100,,,Deschutes,!imported from SS; ,5/5/2024,import,-28.51,,,FALSE,0
ROSA5,Rosa,ROSP-18-2017-1,ROSP-RST-3035/<2-G0-SFMCKENZIE-17,RST,SF McKenzie,FALSE,TRUE,,0.4,250,0.64,0.64,0,0.000882,,0.001411,0.001411,0,160,160,0,,64,,,,102,,30-35/<2,,1-Jan-17,,1200,,,Willamette,!imported; ,2017,add (store),0.64,,,FALSE,0
ROGY,Rosa gymnocarpa,RST-WIL16-08,ROGY-RST-3035/<2-G0-SFMCKENZIE-16,RST,SF McKenzie,FALSE,TRUE,,1.59,62.89,9.61,9.61,0,0.003505,,0.021186,0.021186,0,604,604,0,,94,,,,568,,30-35/<2,,1-Jan-16,,1200,,,Willamette,!imported; ,1/14/2025,strat/sow,-1.9,,Klamath County,FALSE,0
ROGY,Rosa gymnocarpa,RST-BIA11-05,ROGY-RST/BIA-7080/1014-G0-PINECR-11,RST,Pine Creek,FALSE,TRUE,,0.73,136.99,32.93,32.93,0,0.001609,,0.072598,0.072598,0,4511,4511,0,99,25,,,,1128,,,,1-Jan-11,,7500,,,BIA,!imported; ,5/5/2024,import,-29.21,,,FALSE,0
ROGY,Rosa gymnocarpa,ROGY-18-2017-2,ROGY-RST-30-35/<2-G0-SFMCKENZIE-17,RST,SF McKenzie,FALSE,TRUE,,1.53,65.36,1.58,1.58,0,0.003373,,0.003483,0.003483,0,103,103,0,,,,,,,,30-35/<2,,1-Jan-17,,1200,,,Willamette,!imported; ,2017,add (store),1.58,,,FALSE,0
ROGY,Rosa gymnocarpa,ROGY-RST-Hillscrk-21-2,ROGY-RST-3035/<2-G0-1400-HILLSCRK-21-1,RST,Hills Creek,FALSE,TRUE,,1.74,57.47,3.56,3.56,0,0.003836,,0.007848,0.007848,0,205,204,0,,94,,,,193,,30-35/<2,,1-Jan-21,,1400,,,,!imported; ,5/5/2024,import,-0.05,,,FALSE,0
ROGY,Rosa gymnocarpa,ROGY-12-2017-1,ROGY-RST-30-35/<2-G0-NESTUCCA-17,RST,Nestucca,FALSE,TRUE,,1.76,56.82,0.74,0.74,0,0.00388,,0.001631,0.001631,0,42,42,0,,,,,,,,30-35/<2,,1-Jan-17,,600,,,Siuslaw,!imported; ,2017,add (store),0.74,,,FALSE,0
RONU,Rosa nutkana,0110-26,RONU-01-674-01-100-30-JACKCRK-10,RST,Skyliner,FALSE,TRUE,,1.68,59.52,5.73,5.73,0,0.003704,,0.012632,0.012632,0,341,341,0,99,71,,,,242,,20-25/2-3,,1-Jan-10,,4500,,,Deschutes,!imported from SS; ,5/5/2024,import,-4.7,,,FALSE,0
RONU,Rosa nutkana,0907-13,RONU-09-030-03-100-05-Upper_Quin-07,RST,Suiattle,FALSE,TRUE,,1.7,58.82,78.49,78.49,0,0.003748,,0.173041,0.173041,0,4617,4616,0,98,74,,,,3417,,,,1-Jan-07,,,,,Olympic,!imported; ,5/5/2024,import,-82.992,,,FALSE,0
ROWO,Rosa woodsii,0110-21,ROWO-01-674-01-100-38-TUMALOCRK-10,RST,Skyliner,FALSE,TRUE,,0.82,121.95,19.32,19.32,0,0.001808,,0.042593,0.042593,0,2356,2356,0,99,80,81,,,1908,,20-25/2-3,,1-Jan-10,,4500,,,Deschutes,!imported from SS; ,5/5/2024,import,-8.8,,,FALSE,0
ROWO,Rosa woodsii,ROWO-KLAMATHLAKE-2019-1,ROWO-RST-2025/3-6-G0-4200-KLAMATHLAKE-19,RST,Klamath Lake,FALSE,TRUE,,1.03,97.09,16.59,16.59,0,0.002271,,0.036575,0.036575,0,1611,1610,0,,61,,,,983,,20-25/3-6,,1-Jan-19,,4200,42.31358,-121.942777,Fremont,!imported; ,1/14/2025,strat/sow,-5.15,,Klamath County,FALSE,0
ROWO,Rosa woodsii,ROWO-2-2018-1,ROWO-RST-2025/3-6-G0-KLAMATHLAKE-18,RST,Klamath Lake,FALSE,TRUE,,0.73,136.99,21.17,21.17,0,0.001609,,0.046672,0.046672,0,2900,2900,0,,30,,,,870,,20-25/3-6,,1-Jan-18,,4300,42.31358,-121.942777,Fremont,!imported; ,5/5/2024,import,-1.36,,,FALSE,0
ROWO,Rosa woodsii,ROWO-RST-MEDFORD-21-1,ROWO-RST-3035/<2-G0-2900-Medford-2021-1,RST,Unassigned - RST,FALSE,TRUE,,0.92,108.7,9.65,9.65,0,0.002028,,0.021275,0.021275,0,1049,1048,0,,30,,,,315,,30-35/<2,,1-Jan-21,,2900,,,Rogue River Siskiyou,!imported; ,2021,add (store),9.65,,,FALSE,0
RULE,Rubus leucodermis,RULE-RST-HCRHSTW-2021-1,RULE-RST-3035<2-G0-0400-HCRHSWT-21,RST,HCRHST,FALSE,TRUE,,0.12,833.33,35.99,35.99,0,0.000265,,0.079344,0.079344,0,29992,29991,0,,95,,,,28492,,30-35/3-6,,1-Jan-21,,400,,,Mt. Hood,!imported; ,2021,add (store),35.99,,,FALSE,0
RUPA,Rubus parviflorus,RST-WIL16-09,RUPA-RST-FS-3035/<2-G0-SFMCKENZIE-09,RST,SF McKenzie,FALSE,TRUE,,0.12,833.33,2.09,2.09,0,0.000265,,0.004608,0.004608,0,1742,1741,0,99,95,,,,1655,,30-35/<2,,1-Jan-16,,,,,Willamette,!imported; ,5/5/2024,import,-0.861,,,FALSE,0
RUPA,Rubus parviflorus,FHWA-0111-04,RUPA-01-675-01-100-49-TUMALOCK-11,RST,Skyliner,FALSE,TRUE,,0.12,833.33,6.33,6.33,0,0.000265,,0.013955,0.013955,0,5275,5274,0,98,90,,,,4748,,20-25/2-3,,1-Jan-11,,4500,,,Deschutes,!imported; ,5/5/2024,import,-1.381,,,FALSE,0
RUPA,Rubus parviflorus,RUPA-RST-HCRHSTW-2021-1,RUPA-RST-3035/3-6-G0-0400-HCRHSTW-21,RST,HCRHST,FALSE,TRUE,,0.11,909.09,5.86,5.86,0,0.000243,,0.012919,0.012919,0,5327,5327,0,,87,,,,4634,,30-35/3-6,,1-Jan-21,,400,,,Mt. Hood,!imported; ,2021,add (store),5.86,,,FALSE,0
RUPA,Rubus parviflorus,RUPA-18-2018-2,RUPA-RST-3035/<2-G0-SFMCKENZIE-18-2,RST,SF McKenzie,FALSE,TRUE,[appended source code RUPA-RST-3035/<2-G0-SFMCKENZIE-18 to make unique] ,0.11,909.09,1.04,1.04,0,0.000243,,0.002293,0.002293,0,945,945,0,,,,,,,,30-35/<2,,1-Jan-18,,1600,44.163801,-122.27085,Willamette,!imported; ,2018,add (store),1.04,,,FALSE,0
RUPA,Rubus parviflorus,RUPA-RST-HILLSCRK-22-1,RUPA-RST-3035/<2-G0-Hillscrk-22,RST,Hills Creek,FALSE,TRUE,,0.12,833.33,56.204,56.204,0,0.000265,,0.123909,0.123909,0,46836,46836,0,,93,,,,43557,,30-35/<2,,1-Jan-22,,,,,Willamette,!imported; ,2/4/2025,strat/sow,-0.186,,Lower Sunken Grade,FALSE,0
RUPA,Rubus parviflorus,1516-07,RUPA-15-481-01-100-45-HOLLANDMDW-16,RST,Unassigned - RST,FALSE,TRUE,,0.09,1111.11,226.58,226.58,0,0.000198,,0.499523,0.499523,0,251755,251755,0,98,92,,,,231615,,,,1-Jan-16,,,,,Umpqua,!imported; ,5/5/2024,import,0,,,FALSE,0
RUPA,Rubus parviflorus,RUPA-RST-HILLSCREEK-2021-1,RUPA-RST-3035/<2-1500-HILLSCREEK-21,RST,Hills Creek,FALSE,TRUE,,0.12,833.33,5.38,5.38,0,0.000265,,0.011861,0.011861,0,4483,4483,0,,87,,,,3900,,30-35/<2,,1-Jan-21,,1520,,,Willamette,!imported; ,5/5/2024,import,-2,,,FALSE,0
RUPA,Rubus parviflorus,0696-39,RUPA-06-661-06-06100-40-96,RST,Mt. Hood (RST),FALSE,TRUE,,0.1,1000,20.62,20.62,0,0.00022,,0.045459,0.045459,0,20620,20620,0,,,,,,,,,,1-Jan-96,,4000,,,Mt. Hood,!imported; ,5/5/2024,import,-9.39,,,FALSE,0
RUPA,Rubus parviflorus,RUPA-18-2018-1,RUPA-RST-3035/<2-G0-SFMCKENZIE-18,RST,SF McKenzie,FALSE,TRUE,,0.16,625,10.44,10.44,0,0.000353,,0.023016,0.023016,0,6525,6525,0,,,,,,,,30-35/<2,,1-Jan-18,,1200,44.147887,-122.253791,Willamette,!imported; ,2018,add (store),10.44,,,FALSE,0
RUPA,Rubus parviflorus,RUPA-RST-MARYSPEAK-2020-1,RUPA-RST-3035/<2-GO-3800-MARYSPEAK-20,RST,Mary's Peak,FALSE,TRUE,,0.1,1000,0.9,0.9,0,0.00022,,0.001984,0.001984,0,900,900,0,100,58,,,,522,,30-35/<2,,1-Jan-20,,3800,44.510378,-123.560156,Siuslaw,!imported; ,5/5/2024,import,-0.01,,,FALSE,0
RUPA,Rubus parviflorus,1507-01,RUPA-15-492-03-100-32-APPLEFIRE-07,RST,Cow Creek (RST),FALSE,TRUE,,0.12,833.33,255,255,0,0.000265,,0.562179,0.562179,0,212499,212499,0,99,90,,,,191249,,30-35/<2,,1-Jan-07,,,,,Umpqua,!imported; ,5/5/2024,import,-2.64,,,FALSE,0
RUPA,Rubus parviflorus,RUPA-18-2018-3,RUPA-RST-3035/<2-G0-SFMCKENZIE-18-3,RST,SF McKenzie,FALSE,TRUE,[appended source code RUPA-RST-3035/<2-G0-SFMCKENZIE-18 to make unique] ,0.11,909.09,2.938,3.21,0.272,0.000243,,0.006477,0.007077,0.0006,2671,2918,247,,85,,,,2270,,30-35/<2,,1-Jan-18,,1200,44.163801,-122.27085,Willamette,!imported; ,5/5/2024,import,-24.07,,,FALSE,0
RUSP,Rubus spectabilis,RUSP-CAPEMEARES-19-1,RUSP-RST-3540/<2-G0-0405-CAPEMEARES-19,RST,Cape Meares,FALSE,TRUE,,0.37,270.27,22.58,22.58,0,0.000816,,0.04978,0.04978,0,6103,6102,0,,80,,,,4882,,35-40/<2,,1-Jan-19,,450,45.49,-123.951,Cape Meares,!imported; ,5/5/2024,import,-0.07,,,FALSE,0
RUSP,Rubus spectabilis,RUSP-RST-MARYSPEAK-2020-1,RUSP-RST-3035/<2-GO-3600-MARYSPEAK-20,RST,Mary's Peak,FALSE,TRUE,,0.35,285.71,35.86,35.86,0,0.000772,,0.079058,0.079058,0,10246,10245,0,100,22,,,,2254,,30-35/<2,,1-Jan-20,,3600,44.510378,-123.560156,Siuslaw,!imported; ,2020,add (store),35.86,,,FALSE,0
RUSP,Rubus spectabilis,RUSP-CAPEMEARES-19-3,RUSP-RST-35-40/<2-G0-0809-CAPEMEARES-19,RST,Cape Meares,FALSE,TRUE,,0.34,294.12,14.27,14.27,0,0.00075,,0.03146,0.03146,0,4197,4197,0,,83,,,,3484,,35-40/<2,,1-Jan-19,,800,45.49,-123.951,Cape Meares,!imported; ,5/5/2024,import,-3.47,,,FALSE,0
RUSP,Rubus spectabilis,RUSP-RST-HILLSCRK-22-1,RUSP-RST-30-35<2-0266-G0-Hillscrk-22,RST,Hills Creek,FALSE,TRUE,,0.29,344.83,3.33,3.33,0,0.000639,,0.007341,0.007341,0,1148,1148,0,,90,,,,1033,,30-35/<2,,1-Jan-22,,266,,,Willamette,!imported; ,5/5/2024,import,-0.06,,,FALSE,0
RUSP,Rubus spectabilis,RUSP-RST-HILLSCRK-2021-1,RUSP-RST-3035/<2-g0-1200-HILLSCRK-21,RST,Hills Creek,FALSE,TRUE,,0.26,384.62,4.24,4.24,0,0.000573,,0.009348,0.009348,0,1631,1630,0,,72,,,,1174,,30-35/<2,,1-Jan-21,,1200,,,Willamette,!imported; ,2021,add (store),4.24,,,FALSE,0
RUSP,Rubus spectabilis,RST21-75,RUSP-RST-3035/0306-G0-<10-HCRHST-E-21,RST,HCRHST,FALSE,TRUE,,0.14,714.29,3.26,3.26,0,0.000309,,0.007187,0.007187,0,2329,2328,0,98,90,,,,2096,,30-35/3-6,,1-Jan-21,,900,,,Columbia River Gorge NSA,!imported; ,5/5/2024,import,-2.188,,,FALSE,0
RUPH3,Rupertia physodes,RUPH-18-2017-1,RUPHP-RST-30-35/<2-G0-SFMCKENZIE-17,RST,SF McKenzie,FALSE,TRUE,,1.54,64.94,51.5,51.5,0,0.003395,,0.113538,0.113538,0,3344,3344,0,,56,,,,1873,,30-35/<2,,1-Jan-17,,1200,,,Willamette,!imported; ,5/5/2024,import,-0.3,,,FALSE,0
SANIC4,Sambucus nigra ssp. canadensis,SANI4-KLAMATHLAKE-2019-1,SANI4-RST-2025/3-6-G0-4200-KLAMATHLAKE-19,RST,Klamath Lake,FALSE,TRUE,,0.16,625,12.03,12.03,0,0.000353,,0.026522,0.026522,0,7519,7518,0,,16,,,,1203,,20-25/3-6,,1-Jan-19,,4300,42.227099,-121.797952,Fremont,!imported; ,3/5/2025,strat/sow,-1.2,,Klamath County,FALSE,0
SANIC4,Sambucus nigra ssp. canadensis,RST-FHWA14-08,SANIC5-RST-FHWA-1520/3-6G0-BANKSLOW-14,RST,Banks to Lowman,FALSE,TRUE,"forest ""14- r4?""",0.3,333.33,28.58,28.58,0,0.000661,,0.063008,0.063008,0,9527,9526,0,99,94,,,,8955,,15-20/3-6,,1-Jan-14,,,,,,!imported; ,5/5/2024,import,-0.677,,,FALSE,0
SANIC4,Sambucus nigra ssp. canadensis,SANI4-RST-HILLSCRK-22-1,SANI4-RST-3035/<2-G0-2700-HILLSCRK-22-1,RST,Hills Creek,FALSE,TRUE,,0.36,277.78,17.86,17.86,0,0.000794,,0.039375,0.039375,0,4961,4961,0,,93,,,,4614,,30-35/<2,,1-Jan-22,,2700,,,Umpqua,!imported; ,2022,add (store),17.86,,,FALSE,0
SANIC4,Sambucus nigra ssp. canadensis,RST-BIA11-04,SANIC5-RST/BIA-7080/1014-GO-PINECR-11,RST,Unassigned - RST,FALSE,TRUE,,0.33,303.03,219.87,219.87,0,0.000728,,0.48473,0.48473,0,66627,66627,0,93,90,,,,59964,,,,1-Jan-11,,,,,BIA,!imported; ,5/5/2024,import,-3.3,,,FALSE,0
SANIC4,Sambucus nigra ssp. canadensis,SANIC5-18-2016-1,SANI-RST-3035/<2-G0-SFMCKENZIE-16,RST,SF McKenzie,FALSE,TRUE,,0.4,250,0,0.24,0.24,0.000882,,0,0.000529,0.000529,0,60,60,,,,,,,,30-35/<2,,1-Jan-18,,1200,,,Willamette,!imported; ,2018,add (store),0.24,,,FALSE,0
SANIC4,Sambucus nigra ssp. canadensis,RST-CRG16-16,SANI4-RST-3040/2-3/G0-HCRHST-A-C-16,RST,HCRHST,FALSE,TRUE,,0.273,366.3,13.91,13.91,0,0.000602,,0.030666,0.030666,0,5095,5095,0,99,94,,,,4789,,30-35/<2,,1-Jan-16,,300,,,Mt. Hood,!imported; ,5/5/2024,import,-2.782,,,FALSE,0
SARA2,Sambucus racemosa,sara2-12-2018-2,SARA-RST-3035/<2-G0-NESTUCCA-18-0,RST,Nestucca,FALSE,TRUE,[appended source code 'SARA-RST-3035/<2-G0-NESTUCCA-18' to make unique],0.24,416.67,13.48,13.48,0,0.000529,,0.029718,0.029718,0,5617,5616,0,,75,,,,4213,,30-35/<2,,1-Jan-18,,784,45.266083,-123.580733,Siuslaw,!imported; ,2018,add (store),13.48,,,FALSE,0
SARA2,Sambucus racemosa,SARA2-RST-HILLSCRK-22-1-0,SARA2-30-35/<2-G0-0167-HILLSCRK-22-1-0,RST,Hills Creek,FALSE,TRUE,[appended source code SARA2-30-35/<2-G0-0167-HILLSCRK-22-1 to make unique] [appended Seed ID SARA2-RST-HILLSCRK-22-1 to make unique],0.26,384.62,22.54,22.54,0,0.000573,,0.049692,0.049692,0,8669,8669,0,,,,,,,,30-35/<2,,1-Jan-22,,,,,Willamette,!imported; ,2022,add (store),22.54,,,FALSE,0
SARA2,Sambucus racemosa,sara2-12-2018-1,SARA-RST-3035/<2-G0-NESTUCCA-18,RST,Nestucca,FALSE,TRUE,,0.25,400,67.13,67.13,0,0.000551,,0.147996,0.147996,0,26852,26852,0,,,,,,,,30-35/<2,,1-Jan-18,,611,,,Siuslaw,!imported; ,2018,add (store),67.13,,,FALSE,0
SARA2,Sambucus racemosa,RST-0512-01,SARAA3-RST/WFL-2530/48100-G0-SUIATTLE-12,RST,Suiattle,FALSE,TRUE,,0.14,714.29,82.49,82.49,0,0.000309,,0.181859,0.181859,0,58922,58921,0,99,93,,,,54797,,,,1-Jan-12,,,,,,!imported; ,5/5/2024,import,-7.78,,,FALSE,0
SARA2,Sambucus racemosa,sara2-12-2018-3,SARA-RST-3035/<2-G0-NESTUCCA-18-3,RST,Nestucca,FALSE,TRUE,[appended source code 'SARA-RST-3035/<2-G0-NESTUCCA-18' to make unique],0.24,416.67,23.08,23.08,0,0.000529,,0.050883,0.050883,0,9617,9616,0,,80,,,,7694,,30-35/<2,,1-Jan-18,,700,45.0963,-123.74495,Siuslaw,!imported; ,5/5/2024,import,-19.04,,,FALSE,0
SARA2,Sambucus racemosa,SARA2-RST-HILLSCRK-22-1,SARA2-30-35/<2-G0-0167-HILLSCRK-22-1,RST,Hills Creek,FALSE,TRUE,,0.28,357.14,31.16,31.16,0,0.000617,,0.068696,0.068696,0,11128,11128,0,,92,,,,10238,,30-35/<2,,1-Jan-22,,167,,,Willamette,!imported; ,2022,add (store),31.16,,,FALSE,0
SCMI2,Scirpus microcarpus,SCMI2-18-2018-1,SCMI2-RST-3035/<2-G0-SFMCKENZIE-18,RST,SF McKenzie,FALSE,TRUE,,0.01,10000,0,0.98,0.98,0.000022,,0,0.002161,0.002161,0,9800,9800,,,,,,,,30-35/<2,,1-Jan-18,,1200,,,Willamette,!imported; ,2018,add (store),0.98,,,FALSE,0
SCMI2,Scirpus microcarpus,RST-WIL16-25,SCMI2-RST-3035/<2-G0-SFMCKENZIE-16-0,RST,SF McKenzie,FALSE,TRUE,[appended source code SCMI2-RST-3035/<2-G0-SFMCKENZIE-16 to make unique] ,0.01,10000,0,398.67,398.67,0.000022,,0,0.878917,0.878917,0,3986700,3986700,,98,,,,0,,30-35/<2,,1-Jan-16,,1200,,,Willamette,!imported; ,2016,add (store),398.67,,,FALSE,0
SCMI2,Scirpus microcarpus,RST-WFL13-13,SCMI2-RST/WFL-2530/48100-G0-SUIATTLE-13,RST,Suiattle,FALSE,TRUE,,0.01,10000,31.14,31.14,0,0.000022,,0.068652,0.068652,0,311400,311400,0,99,99,,,,308286,,25-30/xx,,1-Jan-13,,,,,,!imported; ,2013,add (store),31.14,,,FALSE,0
SCMI2,Scirpus microcarpus,SCMI-06-2017-1,SCMI-RST-2025/<2-G0-HWY35-17,RST,HWY 35,FALSE,TRUE,,0.012,8333.33,0,2.37,2.37,0.000026,,0,0.005225,0.005225,0,19749,19750,,,,,,,,20-25/<2,,1-Jan-17,,4100,,,Mt. Hood,!imported; ,5/5/2024,import,-2.45,,,FALSE,0
SCMI2,Scirpus microcarpus,0613-11,SCMI2-06-451-09-100-38/42-TRILLIUMLK-13,RST,HWY 35,FALSE,TRUE,,0.01,10000,43.6,43.6,0,0.000022,,0.096122,0.096122,0,436000,436000,0,98,99,,,,431640,,20-25/<2,,1-Jan-11,,4000,,,Mt. Hood,!imported from SS; ,5/5/2024,import,0,,,FALSE,0
SCMI2,Scirpus microcarpus,FHWA-0610-16,SCMI2-06-661-06-100-34/42-FHWA-HWY35-10,RST,HWY 35,FALSE,TRUE,,0.01,10000,0,287.75,287.75,0.000022,,0,0.63438,0.63438,0,2877500,2877500,97,90,,,,0,,20-25/<2,,1-Jan-10,,3500,,,Mt. Hood,!imported; ,2010,add (store),287.75,,,FALSE,0
SCMI2,Scirpus microcarpus,SCMI2-12-2018-1,SCMI2-RST-3035/<2-G0-Nestucca-18,RST,Nestucca,FALSE,TRUE,,0.02,5000,0.41,0.41,0,0.000044,,0.000904,0.000904,0,2050,2050,0,,,,,,,,30-35/<2,,1-Jan-18,,800,,,Siuslaw,!imported; ,5/5/2024,import,-0.23,,,FALSE,0
SCMI2,Scirpus microcarpus,RST-WIL16-05,SCMI2-RST-3035/<2-G0-SFMCKENZIE-16,RST,SF McKenzie,FALSE,TRUE,,0.01,10000,0,12.54,12.54,0.000022,,0,0.027646,0.027646,0,125399,125400,98,99,,,,0,,30-35/<2,,1-Jan-16,,1200,,,Willamette,!imported; ,2016,add (store),12.54,,,FALSE,0
SCMI2,Scirpus microcarpus,FHWA-0610-12,SCMI2-06-661-06-100-43-FHWA-HWY35-10,RST,HWY 35,FALSE,TRUE,,0.014,7142.86,0,125.85,125.85,0.000031,,0,0.277452,0.277452,0,898928,898929,97,88,,,,0,,20-25/<2,,1-Jan-10,,4300,,,Mt. Hood,!imported; ,5/5/2024,import,-0.7,,,FALSE,0
